comune_key,date,arrivals_actual,arrivals_q95,arrivals_multiplier_q95
oyace,2025-09-01,6.999999999999998,15.9131647682058,2.273309252600829
perloz,2025-01-01,60.00000000000001,75.4354630246587,1.2572577170776449
perloz,2025-02-01,54.000000000000014,82.1478314908253,1.5212561387189867
perloz,2025-03-01,82.00000000000003,118.126995827864,1.4405731198519993
perloz,2025-04-01,73.00000000000003,114.046811198187,1.5622850849066707
perloz,2025-05-01,99.00000000000004,135.729646601532,1.3710065313286055
perloz,2025-06-01,77,95.1879705629825,1.2362074099088636
perloz,2025-07-01,182.00000000000009,293.690378230456,1.6136833968706368
perloz,2025-08-01,168,300.315103969313,1.787589904579244
perloz,2025-09-01,89,210.000141730233,2.359552154272281
pollein,2025-01-01,2204.0000000000005,2929.82786681662,1.3293229885737836
pollein,2025-02-01,2626.000000000001,4207.78741968473,1.602356214655266
pollein,2025-03-01,2750.0000000000005,4062.02221949347,1.477098988906716
pollein,2025-04-01,2679.9999999999995,4213.68361192959,1.57227000445134
pollein,2025-05-01,3534.000000000002,4853.50811702844,1.3733752453391166
pollein,2025-06-01,3643.9999999999977,4344.64619468205,1.1922739282881594
pollein,2025-07-01,4059.0000000000005,6115.7297295899,1.5067084822837888
pollein,2025-08-01,3847.9999999999977,6420.19244803703,1.668449180882805
pollein,2025-09-01,3430.000000000002,8002.99073873269,2.3332334515255644
pontboset,2025-01-01,141.99999999999994,173.770803141638,1.2237380502932258
pontboset,2025-02-01,121.00000000000003,180.871267158086,1.4948038608106278
pontboset,2025-03-01,113.00000000000003,158.455639535341,1.4022622967729288
pontboset,2025-04-01,87.00000000000003,135.224209913923,1.5543012633784248
pontboset,2025-05-01,162,223.492609748671,1.3795840107942654
pontboset,2025-06-01,236.00000000000009,304.688264959192,1.2910519701660672
